Supplier ,Contact,Costs ,Insights,Are they at Beef 21? 
Ceres Monitoring ,www.cerestag.com/  ,Available to purchase May 2021 ,  , Ken Coombe Tech Yards 
ioMonitoring ,www.iotag.com.au/  ,  ,"Livestock tracking collar with GPS, accelerometer and ambient temperature thermometer. Battery life of 3 months ",  
mOOvement ,www.moovement.co/  ,"Pricing options vary. One off and yearly options available for individual units, network antennas, and data management systems ",Cattle location ear tag with GPS. Built in solar panel for power. Requires on farm network  , Ken Coombe Tech Yards 
SmartBow ,smartbow.com/en/  ,"Available for purchase, but enquire online for more details. ","Ear tag device to monitor rumination, heat detection and animal location. Suitable for intensive farming systems (ie feedlots) ",  
Smart Paddock ,smartpaddock.com/  ,Available for purchase but enquire online for pricing. ,"Smart tags for GPS tracking of cattle, and more recently sheep. ", Ken Coombe Tech Yards 
Agersens ,www.agersens.com  ,Priced per unit and software provided on monthly subscription.  Can be scaled for larger installations. Enquire online for further information ,Collar device for virtual fencing and animal monitoring. , Ken Coombe Tech Yards 
Allflex ,www.allflex.global/  ,  ,  , R34 
