Supplier,Contact,Costs,Insights,Are they at Beef 21? 
Te Pari ,www.tepari.com/au/ ,,Live weight scales with automated live data feed to smart phone app ,TY29A 
Gallagher ,am.gallagher.com/en-AU ,,Liveweight scales and RFID tag readers ,
Tru-Test ,www.livestock.tru-test.com/en-au ,,Liveweight scales and RFID readers ,
