Supplier,Contact,Costs,Insights,Are they at Beef 21? 
Alflex  ,www.allflex.global/au/ ,,Suppliers of ear tags for animal identification ,R34 
Enduro tags ,www.endurotags.com.au/ ,,Suppliers of ear tags for animal identification ,
Leader Products ,www.leaderproducts.com/en_AU/ ,,Suppliers of ear tags for animal identification ,
